OutletId,Name,State,City,WebsiteUrl,TwitterHandle,FacebookUrl,CreatedAt
40,Alva Review Courier,OK,"Alva, OK",http://www.alvareviewcourier.com/,,https://www.facebook.com/alvareviewcouriernewsgram/,2020-10-19 15:04:39.760
41,Antlers American,OK,"Antlers, OK",http://www.theantlersamerican.com/,,https://www.facebook.com/pages/The-Antlers-American/182635655151552,2020-10-19 15:04:39.797
42,Daily Ardmoreite,OK,"Ardmore, OK",http://www.ardmoreite.com/,,https://www.facebook.com/pages/The-Ardmoreite/143707431292,2020-10-19 15:04:39.837
43,Examiner-Enterprise,OK,"Bartlesville, OK",http://www.examiner-enterprise.com/,bartlesvilleEE,https://www.facebook.com/examinerenterprise,2020-10-19 15:04:39.873
44,Journal Tribune,OK,"Blackwell, OK",http://blackwelljournaltribune.net/,,https://www.facebook.com/BlackwellJournalTribune,2020-10-19 15:04:39.913
45,World,OK,"Broken Arrow, OK",http://www.tulsaworld.com/communities/brokenarrow/,BALedger,https://www.facebook.com/BALedger,2020-10-19 15:04:39.950
46,Express-Star,OK,"Chickasha, OK",http://www.chickashanews.com/,expressstarnews,https://www.facebook.com/pages/The-Express-Star/162544315743,2020-10-19 15:04:39.990
47,Daily Times,OK,"Chouteau, OK",http://www.pryordailytimes.com/,,https://www.facebook.com/pages/Pryor-Daily-Times/120029408048431,2020-10-19 15:04:40.023
48,Claremore Daily Progress,OK,"Claremore, OK",http://www.claremoreprogress.com/,ClrmoreProgress,https://www.facebook.com/claremore.d.progress,2020-10-19 15:04:40.067
49,Clinton Daily News,OK,"Clinton, OK",https://www.clintondailynews.com/,,https://www.facebook.com/ClintonDailyNews,2020-10-19 15:04:40.127
50,American-Tribune,OK,"Coweta, OK",http://www.tulsaworld.com/communities/wagoner/,CowetaAmerican,https://www.facebook.com/CowetaAmericanNewspaper,2020-10-19 15:04:40.163
51,Duncan Banner,OK,"Duncan, OK",http://www.duncanbanner.com/,DuncanBanner,https://www.facebook.com/pages/The-Duncan-Banner/264819720347,2020-10-19 15:04:40.203
52,Durant Daily Democrat,OK,"Durant, OK",http://durantdemocrat.com/,,https://www.facebook.com/DurantDemocrat,2020-10-19 15:04:40.240
53,Edmond Evening Sun,OK,"Edmond, OK",http://www.edmondsun.com/,edmondsun,https://www.facebook.com/edmondoksun,2020-10-19 15:04:40.280
54,El Reno Tribune,OK,"El Reno, OK",http://www.elrenotribune.com/,ERTribune,https://www.facebook.com/el.tribune,2020-10-19 15:04:40.320
55,Grand Lake News,OK,"Elm Grove, OK",http://www.grandlakenews.com/,grovesun,https://www.facebook.com/grovesun,2020-10-19 15:04:40.357
56,Enid News and Eagle,OK,"Enid, OK",http://www.enidnews.com/,enidnews,https://www.facebook.com/pages/Enid-News-Eagle-Advertising/178804281488,2020-10-19 15:04:40.393
57,Press-Leader,OK,"Frederick, OK",http://press-leader.com/,PressLeader,https://www.facebook.com/pages/Frederick-Leader/206459359372105,2020-10-19 15:04:40.433
58,Guymon Daily Herald,OK,"Guymon, OK",http://guymondailyherald.com/,guymondaily,https://www.facebook.com/guymondailyherald,2020-10-19 15:04:40.490
59,Hugo Daily News,OK,"Hugo, OK",http://www.hugonews.com/,,https://www.facebook.com/hugodailynews,2020-10-19 15:04:40.530
